t,x,y,z,yaw,vx,vy,vz,wx,wy,wz,tau_L,tau_R
2.478232348,0.0,0.0,0.049970600000000004,0.0,0.0,0.0,-0.019600000000000003,0.0,0.0,0.0,0.0,0.0
2.488157175,0.0,0.0,0.049235600000000004,0.0,0.0,0.0,-0.11760000000000002,0.0,0.0,0.0,0.0,0.0
2.498101235,0.0,0.0,0.0475206,0.0,0.0,0.0,-0.21560000000000004,0.0,0.0,0.0,0.0,0.0
2.508042483,0.0,0.0,0.04482560000000001,0.0,0.0,0.0,-0.3135999999999999,0.0,0.0,0.0,0.0,0.0
2.520274634,-4.812862218307525e-08,-1.0321749073528318e-05,0.04349237835349872,-1.9528687702270937e-05,-9.556250471036576e-05,0.0008350739610519527,0.0009856161441219565,0.07633670717683809,0.01902791021381634,-0.005777782172897345,0.0,0.0
2.529948423,-4.368906564094979e-07,-5.9406689867823566e-06,0.043492344803155746,4.8066054246444105e-05,-0.00012192237315199424,0.0012145081630106332,0.00213876174057613,-0.0049028711682127715,-0.02316739548004432,0.020407397930911474,0.0,0.0
2.53978985,-3.247848720154871e-06,-2.7788770598313053e-06,0.04349597321208547,9.073617107282007e-05,-0.0002575183868217179,-0.00033372298905546204,0.0010938148171559248,-0.007848710366297957,-0.008942360265326648,-0.002775067656811259,0.0,0.0
2.549445642,-5.927159048370765e-06,-3.844840171879946e-06,0.04349630750377465,8.511960207697249e-05,-0.0002536570621098176,-0.00017631015880073002,0.0009102249775544536,-0.008234951997891468,-0.00972725052353457,-0.002342162667107145,0.0,0.0
2.559316197,-8.626104277465115e-06,-4.231451053388077e-06,0.0434962376578801,7.880636944939076e-05,-0.0002530562527217682,-0.00018925628954034274,0.000900264391996791,-0.007651237256686241,-0.009504379962131111,-0.0024868734567845166,0.0,0.0
2.569252098,-1.1274395750375137e-05,-4.766409601438953e-06,0.043496217904257214,7.170800845194665e-05,-0.00024982156442434017,-0.00019693848778855138,0.0009004900578677337,-0.007469454896398004,-0.009424778495607373,-0.0025199441713494863,0.0,0.0
2.578909916,-1.3897860139574558e-05,-5.349860654845433e-06,0.04349621080192677,6.435996398912462e-05,-0.00024821506107176346,-0.00019900880322870173,0.0009000782944430386,-0.007413648465986336,-0.00940128468791048,-0.0025294877300008753,0.0,0.0
2.589037533,-1.6506737185701437e-05,-5.9480799292617436e-06,0.04349620384652,5.693891944130607e-05,-0.00024704182455836786,-0.00019958082915510526,0.0008997730026976873,-0.00739723765895731,-0.009394178919334653,-0.0025312740713098096,0.0,0.0
2.598959218,-1.9103497481678424e-05,-6.550862622438415e-06,0.043496195950588894,4.9497904947671077e-05,-0.00024600987906844965,-0.00019973216258065818,0.0008996363479274979,-0.007392724223299025,-0.00939139015304448,-0.0025311240442065543,0.0,0.0
2.609057235,-2.1688979039829977e-05,-7.155118005652041e-06,0.04349618764477805,4.2051152961373705e-05,-0.00024504386781866466,-0.00019978280694419874,0.0008995837061981199,-0.007391772399212711,-0.009389706169890388,-0.0025306693842272773,0.0,0.0
2.618847326,-2.4263622693390128e-05,-7.759910509473456e-06,0.04349617930704391,3.460232497934311e-05,-0.000244116825909306,-0.0001998148374326592,0.0008995608324128255,-0.007391897933815736,-0.009388279044740993,-0.0025302666136370697,0.0,0.0
2.628787715,-2.6827746759660506e-05,-8.364934360021391e-06,0.04349617109653669,2.7152388792281027e-05,-0.0002432184043647511,-0.00019984588216775937,0.0008995456907519219,-0.007392352986953217,-0.009386899663690999,-0.0025299488558621188,0.0,0.0
2.639032356,-2.9381625072906672e-05,-8.970077018898551e-06,0.0434961630654497,1.9701655464867096e-05,-0.00024234423875655256,-0.0001998783499205517,0.0008995314407997916,-0.007392906388159847,-0.009385528237195512,-0.0025296894753320566,0.0,0.0
2.648918569,-3.192551209910929e-05,-9.575292077819832e-06,0.04349615522585048,1.22502675176724e-05,-0.0002414922933128492,-0.0001999117648748387,0.0008995166421131087,-0.007393484077409548,-0.009384165709260331,-0.00252946386348275,0.0,0.0
2.658893013,-3.4459651938031334e-05,-1.0180558777152696e-05,0.04349614757700131,4.798310141963819e-06,-0.00024066146222948814,-0.0001999454418786698,0.0008995013491356587,-0.00739406157945152,-0.0093828194565352,-0.0025292572826997213,0.0,0.0
2.669162472,-3.698428157554156e-05,-1.0785867238071198e-05,0.04349614011471949,-2.6541604594963475e-06,-0.0002398510132565213,-0.00019997890825131526,0.0008994858636104108,-0.0073946307608460105,-0.009381495373239655,-0.002529062039821322,0.0,0.0
2.679103381,-3.9499632024851585e-05,-1.1391212402462958e-05,0.04349613283418645,-1.0107106020358632e-05,-0.00023906036716225734,-0.00020001188622501196,0.0008994704283550581,-0.007395189069346375,-0.009380196978857057,-0.002528874333262673,0.0,0.0
2.689047094,-4.2005928732157404e-05,-1.19965913819472e-05,0.043496125730668043,-1.756049967175339e-05,-0.00023828901110126586,-0.00020004422507101496,0.0008994551939974756,-0.007395735885022756,-0.009378926026921168,-0.00252869231010549,0.0,0.0
2.698822614,-4.278844829663058e-05,-1.180946126721542e-05,0.04349628747031991,-1.0519395851790556e-05,0.0001769764425985942,4.328361565564313e-05,0.000617237042070628,-0.003371495273028671,-0.0027118452771817255,-0.002333066108904523,0.0,0.0
2.708814988,-4.296066047401107e-05,-1.1438622951470445e-05,0.043498476109099314,-2.1059278320545856e-05,-0.00013788314563862661,0.00014508636836547113,0.00029269789775815153,-0.003570522385492395,-0.003306940407864709,-0.0005713895368837418,0.0,0.0
2.718790747,-4.364258753149887e-05,-1.0937728686428489e-05,0.04349904431527799,-2.5743255653231858e-05,-0.00010835851576272041,9.38916839197683e-05,0.00011221808727477557,-0.0014407945524704284,-0.001435688500872051,-0.0003076872473434318,0.0,0.0
2.72909752,-4.333803120023837e-05,-1.1220146359978105e-05,0.04349566620078463,-1.2633707505165854e-05,-8.889885816037749e-05,-0.00044011030226981396,0.0007729548244179387,-0.0009620588069221716,-0.004626988914795563,-0.0003992722605837917,0.0,0.0
2.738891582,-4.530226735285392e-05,-1.0480451990434643e-05,0.04349789950550754,-2.0591399039120066e-05,-0.00011337083445544434,4.586453236212502e-05,0.00042238200567890457,0.0002953318272162862,-4.855516823379155e-05,-0.0010696732825444181,0.0,0.0
2.748877539,-4.474836530185195e-05,-1.0912349896588553e-05,0.043494743424148344,-1.065449919919341e-05,0.0003117701126564971,-0.0008646836425272472,-0.001426739396524238,0.032251708799687015,0.021220674900401918,0.0011710940446382,0.0,0.0
2.758907867,-4.670469881796963e-05,-1.044936684363905e-05,0.04349740029463148,-1.7607176555437275e-05,-0.00018340853665977738,0.00012574210407991537,0.0005766268194515909,0.00034750143494731553,0.000510101984535743,-0.0015494043052129342,0.0,0.0
2.768721298,-4.659172678191186e-05,-1.0132711132905797e-05,0.043496104927521234,-1.1532624176550409e-05,-0.0003563224407592348,-0.00019534739895384792,0.0010355747453081826,0.002839273993955029,-0.006426072917497978,0.002281925400518546,0.0,0.0
2.778599047,-4.684722420062002e-05,-8.897834537576e-06,0.0434914884037182,-1.2415164051719412e-05,0.0005428062039665977,0.001152994209089538,-0.0019619642274310155,-0.03402979694048278,0.034311297746201376,-0.0020524518076584205,0.0,0.0
2.788569226,-4.792309408738646e-05,-1.1100250447754446e-05,0.04349218637616732,5.846250083141955e-06,0.0005157102685734293,0.0005151559025922979,0.0013795797967050682,-0.05213292234510506,0.008208160133311177,0.001493363427294714,0.0,0.0
2.798585557,-4.625583638341897e-05,-1.1637633678305057e-05,0.043496378710595814,-1.7023570338651892e-05,6.473174571757017e-05,-0.0002725743416793262,0.0010563386144340971,3.654715881956647e-05,-6.721400690191041e-06,-0.00483478028559789,0.0,0.0
2.808540792,-4.594503822269595e-05,-1.2004396148906331e-05,0.043498719003298575,-3.113420967034679e-05,-8.608107135825517e-05,6.739898074030525e-05,0.00027775928040124257,-0.0026056907285664115,-0.0032489341883283943,-0.0004876726558956695,0.0,0.0
2.818736848,-4.624606653856921e-05,-1.1994954704983405e-05,0.04349892139641786,-3.192084164000636e-05,-0.00010532091607296629,0.00010100862938247285,0.00018015346174844122,-0.002419210294170284,-0.0024055447933959678,-0.000196072306817031,0.0,0.0
2.828581741,-4.652242633570249e-05,-1.1906169295526126e-05,0.04349901840336466,-3.1639940808589264e-05,-0.00010319944398784822,0.00010919324417278111,0.00014562306921058645,-0.001973385892129385,-0.001904721296596365,-5.516913522876316e-05,0.0,0.0
2.838678953,-4.678440660603874e-05,-1.180325120979618e-05,0.043499100436454996,-3.111155653985488e-05,-9.544691292188301e-05,9.732366220987845e-05,0.00011830803952373133,-0.0015433164475732576,-0.0015611184199397145,4.530701374310644e-05,0.0,0.0
2.848619824,-4.6451403389451555e-05,-1.0009852316549457e-05,0.04349655088477053,-1.0721451367141184e-05,-0.0003429314764219855,-0.0003567569979801074,0.0009814381103708013,0.004887041760148503,-0.007196496131725001,0.0009897679455134422,0.0,0.0
2.859181325,-4.7650163857684345e-05,-1.1624181435323975e-05,0.04349706751527639,-1.8628156463869095e-05,-0.00023145037245128226,0.00023241021863359,0.0008133455430801638,-0.0007835688315988104,-0.0011996847574338087,-0.0015932665737928182,0.0,0.0
2.871180713,-4.8258440513666923e-05,-1.2306387766264164e-05,0.043490688730539795,-1.9537870314274335e-06,-0.0011091904000724586,-0.0014836304994118423,-0.0012205957984377685,0.049456948560857694,-0.0486030381536238,0.007050017405358435,0.0,0.0
2.880792688,-4.731017706772836e-05,-9.206173019624372e-06,0.04349503006956289,-4.024306115071725e-05,-4.9989556731602915e-05,-0.0006067674179812981,0.002384542468157635,-0.026858666616414326,-0.013402396283606293,-0.00406907704950434,0.0,0.0
2.890549653,-4.7495374125845875e-05,-9.034174776428897e-06,0.043498558271491225,-3.697008649365536e-05,-7.178446399290393e-05,-5.822232196567387e-05,0.00026993625198226787,0.0008007720006395748,-0.0007411733497370263,0.0018265056890650589,0.0,0.0
2.900638356,-4.7981891106187504e-05,-9.18969663826298e-06,0.04349865948990732,-3.806978840429455e-05,2.937744286614404e-05,4.862053011716014e-05,0.00014541833753730743,-0.0012539052106234857,-0.0002682641687666179,-0.0004926346356902614,0.0,0.0
2.910075002,-4.741262953231584e-05,-9.530713739968642e-06,0.043496231907550136,-3.931673190242434e-05,-0.0002472867956008564,0.0003449374759875927,-0.0008959847832959712,-0.023920118161323913,-0.01819348644771706,0.0005149320144961681,0.0,0.0
2.920011085,-4.485510421860618e-05,-1.0219858413141696e-05,0.04349615104456766,-3.873772611777277e-05,3.144977886568674e-05,0.0010022563905044538,0.0021932995892086048,-0.013606211227313795,-0.01697944019079275,-0.005061010878115307,0.0,0.0
2.929784209,-4.4207124427658015e-05,-1.2629184464756176e-05,0.043494310606000036,-3.140105206877774e-05,0.00030669829174678835,-1.2970207874191731e-05,0.0016499429912922659,-0.01395734607103197,-0.009167724725051724,-0.005341398406631679,0.0,0.0
2.93976113,-4.485263762318701e-05,-9.512229813065504e-06,0.043498540674254925,-5.656344367717485e-05,9.349903754306402e-05,0.00012976437131852162,0.00026404315817570376,-0.0002853647187075755,0.0011893902490981072,-0.001925544871326959,0.0,0.0
2.94966208,-4.4188418300413016e-05,-9.772440301682073e-06,0.04349926390637253,-5.8425551658462886e-05,-5.3600938519264916e-05,-5.5079022216557884e-05,0.00017044736212684834,0.0015828653315455167,-0.00015392104180778112,0.0021032379049895546,0.0,0.0
2.959437772,-4.3564140290244704e-05,-1.0248519554743228e-05,0.04349765116080652,-5.758512386570726e-05,0.0004462921136862205,-0.0005016505581713319,-0.0016509474744944882,0.020717216132718527,0.019402473499930295,0.0001800305937334303,0.0,0.0
2.969254433,-4.355929296963847e-05,-1.0313993133658945e-05,0.04349710964986336,-5.617037159990002e-05,-0.00013684730146446396,-0.00010597364258669236,0.0005960167696788889,-2.4586887546527692e-05,-0.005904618360445536,0.0015125550568426975,0.0,0.0
2.979032485,-4.3152541175940184e-05,-1.0259030797328852e-05,0.04349840637346558,-5.779186270174314e-05,-4.813276015426863e-05,0.00021127615788714334,0.00028560262519069845,-0.004489827483657744,-0.003802348464977977,-0.0014345178648753822,0.0,0.0
2.98953301,-4.3039613252123506e-05,-1.018941448918884e-05,0.04349877209470385,-5.8155159727749685e-05,-8.05106538020079e-05,-4.6580650820425714e-05,0.0002892086374579343,-8.47748301410829e-05,-0.001790076680160036,0.0019139286506780289,0.0,0.0
2.999255925,-4.311533493831979e-05,-9.932447983745813e-06,0.043498869547790364,-5.59411534330862e-05,-8.144402832985165e-05,0.00017592055634859898,0.0001168192215640055,-0.0030945438625566654,-0.002339677013601769,-0.00043934891328184836,0.0,0.0
3.009553308,-4.367533053695541e-05,-9.797132745028014e-06,0.04349865308213872,-5.475961718728004e-05,1.392677137693372e-05,0.00012091065252269144,0.00015773802240399664,-0.0014408027336351942,-0.0004972285576188498,-0.0010831035776730886,0.0,0.0
3.019259043,-4.338391485759949e-05,-9.825757338703577e-06,0.04349902718871853,-5.427527111171422e-05,-4.062895099467239e-05,0.00016760807774768847,5.1810891358907705e-05,-0.0020872413315991684,-0.0013452864441911903,-0.0005661571223451065,0.0,0.0
